year,genre,total_games,avg_price,avg_reviews,avg_ivs,crescimento_yoy
2010,Action,3,2.66,12254.33,1.67,
2011,Action,4,6.49,6149.0,0.71,33.33
2012,Action,1,0.0,8815087.0,4.82,-75.0
2013,Action,1,7.49,140682.0,0.64,0.0
2010,Adventure,3,8.66,17280.33,0.3,
2011,Adventure,1,9.99,433510.0,0.56,-66.67
2010,Casual,1,6.99,91.0,0.19,
2010,Indie,2,7.49,1926.5,0.3,
2012,Indie,1,4.99,13139.0,0.7,-50.0
2010,RPG,1,0.0,20145.0,2.72,
2011,RPG,1,24.99,6700.0,0.1,0.0
2023,RPG,1,29.99,32523.0,0.13,0.0
2010,Simulation,1,6.99,28.0,0.11,
2013,Simulation,1,29.99,7268.0,0.06,0.0
2010,Strategy,1,29.99,204265.0,0.17,
2011,Strategy,2,6.29,7072.0,0.85,100.0
2014,Strategy,1,9.99,1735.0,0.23,-50.0
